06:00–06:15 起床、喝水、洗漱、轻度拉伸，不刷手机。
06:15–06:35 前日复盘与教资晨读：回忆“三观”“三爱两人一终身”，查看昨天选择题错项；写下今天科研第一步。
06:35–07:05 英语：15分钟词汇/词组，15分钟精读一篇外刊或顶会论文摘要。
07:05–07:15 练字：抄写一则教育家名言或教资作文金句。
07:15–07:30 确认三件要事，收拾出门。
07:30–08:30 早餐、路途与工位准备。
08:30–09:00 整理实习任务清单、准备材料。
09:00–11:00 线上实习：专注完成当日任务并交付。
11:00–11:30 实习收尾、文献速览；明确下午实验的变量/模块和验收标准。
11:30–13:30 午餐、散步、午休30分钟。
13:30–15:00 小论文2深度工作第一组：运行实验或调试核心模块。
15:00–15:15 短休，记录当前结果和问题。
15:15–16:45 小论文2深度工作第二组：复现、分析结果或补充代码。
16:45–17:30 归档实验图表、参数、现象与结论；写好明日第一步。
17:30–19:00 晚餐、散步或轻度运动。
19:00–19:40 教资：复述教育观、学生观、教师观及职业道德核心要点；薄弱处重点回背。
19:40–20:40 教资：刷《2017年下半年教师资格证考试《综合素质》（中学）题》的选择题部分（29题），重点整理法律法规易错项。
20:40–21:00 教资：整理错题，标注考点和错误原因；对照第30题（学生观）、第31题（职业道德-反面典型）理清采分点。
21:00–22:15 大论文：继续完善三级目录，或将小论文1内容按大论文目标章节整理，产出至少1页目录/素材笔记。
22:15–23:00 完成Checklist、洗漱、放松，23:00熄灯。
